"tablet.id","signs.orig.vec","signs.expand.vec"
"P000740","2(N14) _ ZATU621~c# _ 2(N14) _ TE _ 2(N14) _ SZIR~a _ 2(N01) _ 5(N01) _ ZATU702 _ 5(N01) _ ZATU697~a","N14 N14 _ ZATU621~c _ N14 N14 _ TE _ N14 N14 _ SZIR~a _ N01 N01 _ N01 N01 N01 N01 N01 _ ZATU702 _ N01 N01 N01 N01 N01 _ ZATU697~a"
"P000742","2(N14) _ UDU~a _ 2(N14) _ SZITA~b1 _ 2(N14) _ BA _ 1(N57) _ SZITA~a1 _ 8(N01) _ KU3~a _ 5(N34) _ 2(N14) _ SZITA~a1 _ 2(N14) _ |(SZAxHI@g~a)~b| _ 2(N14) _ |(SZAxHI@g~a)~a| _ HI@g~a _ 1(N01) _ 1(N28) _ ZATU714 _ 2(N01) _ 1(N28) _ |ZATU714xHI@g~a| _ MU _ 3(N39~a) _ HI@g~a _ EN~a# _ SZE~a# _ GESZTU~b","N14 N14 _ UDU~a _ N14 N14 _ SZITA~b1 _ N14 N14 _ BA _ N57 _ SZITA~a1 _ N01 N01 N01 N01 N01 N01 N01 N01 _ KU3~a _ N34 N34 N34 N34 N34 _ N14 N14 _ SZITA~a1 _ N14 N14 _ |(SZAxHI@g~a)~b| _ N14 N14 _ |(SZAxHI@g~a)~a| _ HI@g~a _ N01 _ N28 _ ZATU714 _ N01 N01 _ N28 _ |ZATU714xHI@g~a| _ MU _ N39~a N39~a N39~a _ HI@g~a _ EN~a _ SZE~a _ GESZTU~b"
"P000744","1(N14) _ KASZ~b _ GAR3 _ PIRIG~a1 _ MASZ _ ISZ~c","N14 _ KASZ~b _ GAR3 _ PIRIG~a1 _ MASZ _ ISZ~c"
"P000745","1(N01) _ NUN~a _ A _ AN# _ EN~b","N01 _ NUN~a _ A _ AN _ EN~b"
"P000747","3(N34)# _ |LAGAB~axNUN~b|","N34 N34 N34 _ |LAGAB~axNUN~b|"
"P000748","3(N01) _ NUN~b# _ 1(N01) _ UD5~a# _ 1(N01)# _ GUKKAL~a _ ZATU720# _ 6(N01) _ ZATU720","N01 N01 N01 _ NUN~b _ N01 _ UD5~a _ N01 _ GUKKAL~a _ ZATU720 _ N01 N01 N01 N01 N01 N01 _ ZATU720"
"P000749","4(N14) _ 4(N01)","N14 N14 N14 N14 _ N01 N01 N01 N01"
"P000750","1(N01)# _ UTUA~a","N01 _ UTUA~a"
"P000751","1(N01)# _ ZATU622 _ USZ~a# _ 1(N01) _ USZ~a _ 1(N01) _ ZATU753 _ USZ~a _ 1(N01) _ AN# _ AL# _ USZ~a _ GUKKAL~a","N01 _ ZATU622 _ USZ~a _ N01 _ USZ~a _ N01 _ ZATU753 _ USZ~a _ N01 _ AN _ AL _ USZ~a _ GUKKAL~a"
"P000752","5(N01)# _ 1(N34) _ 2(N14) _ 6(N01)# _ ADAB# _ 2(N01) _ U8#","N01 N01 N01 N01 N01 _ N34 _ N14 N14 _ N01 N01 N01 N01 N01 N01 _ ADAB _ N01 N01 _ U8"
"P000756","3(N14)# _ 1(N01)#","N14 N14 N14 _ N01"
"P000757","1(N48) _ 5(N34) _ 7(N01) _ LAGAR~a _ PIRIG~a1","N48 _ N34 N34 N34 N34 N34 _ N01 N01 N01 N01 N01 N01 N01 _ LAGAR~a _ PIRIG~a1"
"P000758","2(N01) _ LAGAB~a _ SI4~d _ TE","N01 N01 _ LAGAB~a _ SI4~d _ TE"
"P000761","2(N34) _ U4 _ AMAR _ GAR3 _ 2(N14) _ ZATU694~d@t _ 4(N14) _ 6(N01)# _ 4(N34)# _ GUL _ 1(N14)# _ 3(N14)# _ 4(N14)# _ 2(N34)#","N34 N34 _ U4 _ AMAR _ GAR3 _ N14 N14 _ ZATU694~d@t _ N14 N14 N14 N14 _ N01 N01 N01 N01 N01 N01 _ N34 N34 N34 N34 _ GUL _ N14 _ N14 N14 N14 _ N14 N14 N14 N14 _ N34 N34"
"P000762","1(N34)# _ 2(N01)# _ NA~b# _ 3(N14)# _ GAR3 _ 2(N01) _ ZATU694~d# _ DUG~c# _ SI#","N34 _ N01 N01 _ NA~b _ N14 N14 N14 _ GAR3 _ N01 N01 _ ZATU694~d _ DUG~c _ SI"
"P000763","3(N34) _ GAR3 _ 1(N14) _ 5(N01) _ ZATU694~d@t _ 1(N14) _ 5(N01) _ ZATU694~b# _ 7(N01) _ NA~c _ 1(N14) _ 5(N01)# _ |LAGAB~axDU6~b| _ 2(N14) _ 6(N01) _ DIB# _ 4(N01) _ PIRIG~a3 _ 2(N01) _ NU11# _ GA2~a1 _ ESZDA _ GA2~a1 _ 1(N34) _ GAR3# _ 2(N01) _ NA~c _ 1(N01)#","N34 N34 N34 _ GAR3 _ N14 _ N01 N01 N01 N01 N01 _ ZATU694~d@t _ N14 _ N01 N01 N01 N01 N01 _ ZATU694~b _ N01 N01 N01 N01 N01 N01 N01 _ NA~c _ N14 _ N01 N01 N01 N01 N01 _ |LAGAB~axDU6~b| _ N14 N14 _ N01 N01 N01 N01 N01 N01 _ DIB _ N01 N01 N01 N01 _ PIRIG~a3 _ N01 N01 _ NU11 _ GA2~a1 _ ESZDA _ GA2~a1 _ N34 _ GAR3 _ N01 N01 _ NA~c _ N01"
"P000764","9(N01) _ ZATU694~d _ 2(N01) _ 5(N14) _ GAR3#","N01 N01 N01 N01 N01 N01 N01 N01 N01 _ ZATU694~d _ N01 N01 _ N14 N14 N14 N14 N14 _ GAR3"
"P000765","1(N45) _ 2(N34) _ 3(N14) _ SZE3 _ 1(N47)# _ 2(N20)# _ 3(N05) _ 4(N34) _ 3(N14) _ SIG2~d3 _ 1(N34) _ 1(N14)","N45 _ N34 N34 _ N14 N14 N14 _ SZE3 _ N47 _ N20 N20 _ N05 N05 N05 _ N34 N34 N34 N34 _ N14 N14 N14 _ SIG2~d3 _ N34 _ N14"
"P000766","2(N34) _ GAR3 _ 4(N34) _ GUL _ 1(N34) _ ZATU694~a _ 7(N01) _ NA~b _ SI4~a","N34 N34 _ GAR3 _ N34 N34 N34 N34 _ GUL _ N34 _ ZATU694~a _ N01 N01 N01 N01 N01 N01 N01 _ NA~b _ SI4~a"
"P000767","5(N14) _ GAR3 _ 3(N01)# _ 2(N14) _ GAR3 _ 1(N01)","N14 N14 N14 N14 N14 _ GAR3 _ N01 N01 N01 _ N14 N14 _ GAR3 _ N01"
"P000768","1(N48) _ 1(N34) _ 3(N14) _ NUNUZ~a2 _ 5(N34) _ GAR3# _ 4(N14)# _ ZATU694~d _ 8(N01) _ NA~b _ UR~a@g#","N48 _ N34 _ N14 N14 N14 _ NUNUZ~a2 _ N34 N34 N34 N34 N34 _ GAR3 _ N14 N14 N14 N14 _ ZATU694~d _ N01 N01 N01 N01 N01 N01 N01 N01 _ NA~b _ UR~a@g"
"P000770","2(N34) _ GAR3 _ 3(N14)# _ 4(N01) _ ZATU694~d# _ 1(N01) _ PIRIG~a1 _ 1(N34) _ GAR3 _ 3(N01) _ ZATU694~d _ 2(N01) _ ZATU694~b#","N34 N34 _ GAR3 _ N14 N14 N14 _ N01 N01 N01 N01 _ ZATU694~d _ N01 _ PIRIG~a1 _ N34 _ GAR3 _ N01 N01 N01 _ ZATU694~d _ N01 N01 _ ZATU694~b"
"P000771","5(N01) _ ZATU694~a# _ AB~a# _ RU","N01 N01 N01 N01 N01 _ ZATU694~a _ AB~a _ RU"
"P000772","1(N48) _ 1(N34) _ NUNUZ~a2 _ 2(N34) _ GAR3# _ 4(N14) _ ZATU694~d# _ 2(N34)#","N48 _ N34 _ NUNUZ~a2 _ N34 N34 _ GAR3 _ N14 N14 N14 N14 _ ZATU694~d _ N34 N34"
"P000773","1(N14) _ 6(N01)# _ 1(N01)#","N14 _ N01 N01 N01 N01 N01 N01 _ N01"
"P000775","6(N01)# _ ZATU694~d# _ 5(N01)# _ ZATU694~b# _ 1(N01)# _ 4(N14) _ GAR3# _ 2(N01)# _ SZA3~a1","N01 N01 N01 N01 N01 N01 _ ZATU694~d _ N01 N01 N01 N01 N01 _ ZATU694~b _ N01 _ N14 N14 N14 N14 _ GAR3 _ N01 N01 _ SZA3~a1"
"P000776","2(N34)# _ GAR3 _ 2(N14)# _ ZATU694~d# _ |MUSZEN.UR3~b2|","N34 N34 _ GAR3 _ N14 N14 _ ZATU694~d _ |MUSZEN.UR3~b2|"
"P000779","3(N34)# _ GAR3 _ BU~a#","N34 N34 N34 _ GAR3 _ BU~a"
"P000780","1(N48) _ 4(N34)# _ EN@g~b# _ GAR3#","N48 _ N34 N34 N34 N34 _ EN@g~b _ GAR3"
"P000785","4(N01)# _ UDU~a","N01 N01 N01 N01 _ UDU~a"
"P000786","1(N14) _ 2(N01) _ 1(N14) _ 2(N01) _ ZATU690#","N14 _ N01 N01 _ N14 _ N01 N01 _ ZATU690"
"P000787","7(N01) _ UDUNITA~a _ 2(N01)#","N01 N01 N01 N01 N01 N01 N01 _ UDUNITA~a _ N01 N01"
"P000789","1(N01) _ SZU2 _ KAB _ NAM2","N01 _ SZU2 _ KAB _ NAM2"
"P000790","2(N34) _ GAR3 _ 2(N14) _ ZATU694~d _ 5(N01) _ NA~b _ 2(N34) _ GUL _ GI _ KA~a","N34 N34 _ GAR3 _ N14 N14 _ ZATU694~d _ N01 N01 N01 N01 N01 _ NA~b _ N34 N34 _ GUL _ GI _ KA~a"
"P000791","4(N14)# _ GAR3 _ 7(N01) _ ZATU694~b _ AZU _ 1(N14)# _ 2(N01)# _ 3(N14) _ GAR3 _ 6(N01) _ ZATU694~b","N14 N14 N14 N14 _ GAR3 _ N01 N01 N01 N01 N01 N01 N01 _ ZATU694~b _ AZU _ N14 _ N01 N01 _ N14 N14 N14 _ GAR3 _ N01 N01 N01 N01 N01 N01 _ ZATU694~b"
"P000792","1(N34)# _ 3(N34) _ GUL#","N34 _ N34 N34 N34 _ GUL"
"P000802","1(N51)# _ 1(N34)#","N51 _ N34"
"P000804","2(N14)# _ IB~a _ GUM~a _ MAR~a _ UTUA~a _ U8 _ UD5~a _ A","N14 N14 _ IB~a _ GUM~a _ MAR~a _ UTUA~a _ U8 _ UD5~a _ A"
"P000805","2(N01)# _ ZATU754 _ NUN~a _ 2(N02) _ 1(N01) _ PAP~a","N01 N01 _ ZATU754 _ NUN~a _ N02 N02 _ N01 _ PAP~a"
"P000806","4(N51)# _ SZA3~c _ SUKUD@g~a","N51 N51 N51 N51 _ SZA3~c _ SUKUD@g~a"
"P000807","SZITA~a1# _ 1(N01) _ NUN~a _ 1(N01) _ NIM~a _ 1(N01)","SZITA~a1 _ N01 _ NUN~a _ N01 _ NIM~a _ N01"
"P000808","3(N14) _ SUKKAL _ AB2","N14 N14 N14 _ SUKKAL _ AB2"
"P000809","3(N14) _ 1(N01) _ ZATU650 _ 4(N14) _ 4(N01)# _ 2(N14) _ 1(N01)# _ 3(N14)","N14 N14 N14 _ N01 _ ZATU650 _ N14 N14 N14 N14 _ N01 N01 N01 N01 _ N14 N14 _ N01 _ N14 N14 N14"
"P000812","1(N34)# _ GESZTU~a _ KISAL~b1","N34 _ GESZTU~a _ KISAL~b1"
"P000813","1(N14) _ 3(N01) _ ZATU678 _ ERIM~a _ 1(N14) _ ZATU678 _ ZATU765 _ 5(N01) _ 5(N01) _ SAL _ 5(N01) _ PAP~a _ 1(N14) _ 4(N14) _ 8(N01)","N14 _ N01 N01 N01 _ ZATU678 _ ERIM~a _ N14 _ ZATU678 _ ZATU765 _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ SAL _ N01 N01 N01 N01 N01 _ PAP~a _ N14 _ N14 N14 N14 N14 _ N01 N01 N01 N01 N01 N01 N01 N01"
"P000814","1(N34)# _ 5(N01)# _ 1(N01)# _ 1(N34)# _ 1(N14) _ 6(N01)# _ 2(N01)# _ 1(N34)# _ 1(N34)#","N34 _ N01 N01 N01 N01 N01 _ N01 _ N34 _ N14 _ N01 N01 N01 N01 N01 N01 _ N01 N01 _ N34 _ N34"
"P000816","AB2# _ GADA~a _ 1(N01) _ SZU2 _ DUB~b#","AB2 _ GADA~a _ N01 _ SZU2 _ DUB~b"
"P000819","3(N01)","N01 N01 N01"
"P000822","1(N01) _ SZU2 _ NAM2 _ KAB _ 1(N34) _ 1(N28) _ 1(N01) _ SZU2 _ SI4~a _ EN~a _ ZATU685","N01 _ SZU2 _ NAM2 _ KAB _ N34 _ N28 _ N01 _ SZU2 _ SI4~a _ EN~a _ ZATU685"
"P000928","5(N01)# _ ESZDA _ 5(N01) _ NUN~a _ 5(N01) _ LAGAR~a _ 5(N01) _ EN~b _ 3(N01)# _ TE# _ 3(N01) _ ZATU693 _ 3(N01) _ GA2~b _ 3(N01) _ MUSZ3~a _ 3(N01) _ ZATU659 _ PA~a _ 3(N01) _ DUG~c _ 1(N01) _ SZUBUR _ ZATU644~a _ 3(N14) _ 8(N01) _ SZU2 _ 1(N01) _ ZATU644~a _ UNUG~a# _ 1(N01) _ SAG _ 2(N01) _ NU _ 2(N01) _ SAL _ USZ~a _ 1(N01) _ ZATU758 _ 1(N14) _ TI# _ 1(N01) _ 2(N01)# _ ZATU687# _ 1(N01)","N01 N01 N01 N01 N01 _ ESZDA _ N01 N01 N01 N01 N01 _ NUN~a _ N01 N01 N01 N01 N01 _ LAGAR~a _ N01 N01 N01 N01 N01 _ EN~b _ N01 N01 N01 _ TE _ N01 N01 N01 _ ZATU693 _ N01 N01 N01 _ GA2~b _ N01 N01 N01 _ MUSZ3~a _ N01 N01 N01 _ ZATU659 _ PA~a _ N01 N01 N01 _ DUG~c _ N01 _ SZUBUR _ ZATU644~a _ N14 N14 N14 _ N01 N01 N01 N01 N01 N01 N01 N01 _ SZU2 _ N01 _ ZATU644~a _ UNUG~a _ N01 _ SAG _ N01 N01 _ NU _ N01 N01 _ SAL _ USZ~a _ N01 _ ZATU758 _ N14 _ TI _ N01 _ N01 N01 _ ZATU687 _ N01"
"P000829","9(N01)# _ ZATU630# _ 1(N01) _ MU","N01 N01 N01 N01 N01 N01 N01 N01 N01 _ ZATU630 _ N01 _ MU"
"P000830","1(N14) _ ERIM~b2 _ AMA~a# _ 1(N14) _ ZATU752 _ SILA4~c _ EN~b _ |URU~a3xKALAM~a|","N14 _ ERIM~b2 _ AMA~a _ N14 _ ZATU752 _ SILA4~c _ EN~b _ |URU~a3xKALAM~a|"
"P000938","1(N48) _ 1(N34) _ 4(N14) _ DUR~a _ EN~a _ ZATU700 _ 4(N34) _ 5(N14) _ UNUG~a _ DUR~a _ SZIR~b","N48 _ N34 _ N14 N14 N14 N14 _ DUR~a _ EN~a _ ZATU700 _ N34 N34 N34 N34 _ N14 N14 N14 N14 N14 _ UNUG~a _ DUR~a _ SZIR~b"
"P000837","2(N01) _ TE _ 1(N57) _ 2(N01) _ NUN~a _ 1(N01) _ ZATU693 _ 2(N01) _ GESZTU~a _ 2(N01) _ AN _ USZ~a# _ 2(N01) _ BALAG _ 2(N01) _ GURUSZ~a# _ 1(N01) _ 1(N01)# _ 1(N01)# _ 2(N01)# _ 1(N01)# _ 1(N34) _ 1(N01)","N01 N01 _ TE _ N57 _ N01 N01 _ NUN~a _ N01 _ ZATU693 _ N01 N01 _ GESZTU~a _ N01 N01 _ AN _ USZ~a _ N01 N01 _ BALAG _ N01 N01 _ GURUSZ~a _ N01 _ N01 _ N01 _ N01 N01 _ N01 _ N34 _ N01"
"P000839","7(N01)# _ |DUG~bxX|# _ 3(N01)# _ |DUG~bxSZE~a|# _ 1(N14)# _ 4(N01) _ 3(N14)# _ UNUG~a _ |DUG~bxHI@g~a|# _ 1(N14) _ 3(N01) _ |DUG~bxSZE~a|# _ 1(N14)# _ SZE~a# _ 1(N14)#","N01 N01 N01 N01 N01 N01 N01 _ |DUG~bxX| _ N01 N01 N01 _ |DUG~bxSZE~a| _ N14 _ N01 N01 N01 N01 _ N14 N14 N14 _ UNUG~a _ |DUG~bxHI@g~a| _ N14 _ N01 N01 N01 _ |DUG~bxSZE~a| _ N14 _ SZE~a _ N14"
"P000844","1(N01) _ 1(N01)# _ ZATU675~a _ 1(N01) _ KIN2~e# _ 1(N01)","N01 _ N01 _ ZATU675~a _ N01 _ KIN2~e _ N01"
"P000959","1(N51) _ IB~b# _ 1(N51) _ SUHUR _ 1(N51) _ |1(N57).SZUBUR| _ 1(N51)# _ TE# _ EN~b# _ 1(N51) _ IB~b _ KUSZU2~a _ KU3~a","N51 _ IB~b _ N51 _ SUHUR _ N51 _ |1(N57).SZUBUR| _ N51 _ TE _ EN~b _ N51 _ IB~b _ KUSZU2~a _ KU3~a"
"P000960","1(N01)# _ ZATU668# _ PAP~a _ 1(N01) _ NIR~b# _ 1(N01) _ MASZ# _ ZATU621~b# _ 2(N01) _ DIN _ 1(N01)# _ UB _ 1(N01) _ MASZ _ MUSZ3~b _ 2(N01) _ GURUSZDA# _ BU~a _ 1(N01) _ |1(N58).BAD~b| _ GUKKAL~b _ 1(N01) _ UKKIN~c _ GUKKAL~a _ 1(N01)# _ BU~a# _ 1(N01)# _ ZATU621~a# _ NAM~a# _ 1(N01)# _ ZATU680~d _ 1(N01)# _ SZA# _ SZUBUR# _ 9(N01)# _ ZATU771 _ 2(N01)# _ ZATU768","N01 _ ZATU668 _ PAP~a _ N01 _ NIR~b _ N01 _ MASZ _ ZATU621~b _ N01 N01 _ DIN _ N01 _ UB _ N01 _ MASZ _ MUSZ3~b _ N01 N01 _ GURUSZDA _ BU~a _ N01 _ |1(N58).BAD~b| _ GUKKAL~b _ N01 _ UKKIN~c _ GUKKAL~a _ N01 _ BU~a _ N01 _ ZATU621~a _ NAM~a _ N01 _ ZATU680~d _ N01 _ SZA _ SZUBUR _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ ZATU771 _ N01 N01 _ ZATU768"
"P000850","1(N01) _ DUG~c _ 2(N01) _ SZU2","N01 _ DUG~c _ N01 N01 _ SZU2"
"P000962","7(N01)# _ 1(N24) _ ZATU722# _ 3(N01)# _ 1(N24)# _ 1(N08) _ ZATU722# _ 1(N01) _ 1(N24) _ 1(N08) _ 3(N07~a)# _ ZATU723#","N01 N01 N01 N01 N01 N01 N01 _ N24 _ ZATU722 _ N01 N01 N01 _ N24 _ N08 _ ZATU722 _ N01 _ N24 _ N08 _ N07~a N07~a N07~a _ ZATU723"
"P000853","1(N34)# _ 2(N01) _ MA _ DIN","N34 _ N01 N01 _ MA _ DIN"
"P000964","1(N34)# _ 2(N14)# _ 1(N14)# _ 5(N01)# _ 2(N14)# _ 9(N01)# _ RAD~a#","N34 _ N14 N14 _ N14 _ N01 N01 N01 N01 N01 _ N14 N14 _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ RAD~a"
"P000855","1(N14)# _ 1(N01) _ 1(N34)#","N14 _ N01 _ N34"
"P000968","1(N01) _ 1(N01)# _ 2(N01)#","N01 _ N01 _ N01 N01"
"P000866","2(N34)#","N34 N34"
